id,name,host_id,PriceSeq,Price,ReviewSeq,ReviewScore,NBSeq
10068003,"Bright 2BR | Work Desk + WiFi | Kendall Square",30283594,4,216.00,5,96,5
10068220,"Furnished 2BR Kendall Square Apt near MIT",30283594,4,249.00,5,100,5
10068492,"Lux Furnished Kendall Square 2-Bedroom Apt",30283594,4,249.00,5,94,5
10138304,"One Bedroom Close to MIT (1172)",51079261,1,100.00,4,88,4
10152128,"Room For Two Short Walk To Harvard (RM 11)",51079261,3,191.00,5,94,9
10152514,"One Subway Stop to Harvard Two Stops to MIT (A)",51079261,3,162.00,5,91,8
10355885,"3BR/3BA Home@Harvard&MIT w/Parking",51536389,5,281.00,5,92,6
10366230,"2 BR/1 BA Apt between Harvard/MIT + Parking!",51536389,4,212.00,5,91,6
10413061,"2BR+2 BA Home between Harvard/MIT & Onsite Parking",51536389,4,235.00,5,92,6
10545046,"2 bedroom-fast reliable wifi, 5 min walk to T stop",21745230,2,139.00,5,99,8
10808446,"Semi-private room close to Harvard!",23983523,1,55.00,5,96,6
11084684,"One/Two BR near MIT/Kendall/Harvard",21631889,3,198.00,5,98,11
11127214,"Entire condo short term rental. June 24- August 7",24918048,1,100.00,5,100,9
11172827,"Cheerful 2 BR Grd Floor Apt June-August",13710243,3,160.00,5,92,8
11298634,"Spacious 2-Bedroom - Ideal Location in Cambridge",39633488,5,299.00,5,98,6
11656940,"sunny 2-level apt. near Harvard",61855782,3,199.00,5,97,1
11836087,"1A CAMBRiDGE HARVARD MiT LOCATION SPOTLESS 1BR!",81038,4,220.00,5,98,6
11944852,"3Bdr with parking in West Cambridge",21631889,5,257.00,5,97,7
12038379,"Charming apt easy walk to Harvard",1260886,4,201.00,5,98,7
12220649,"Nice Space near Harvard University",65735793,5,500.00,5,96,6
12231967,"Elegant Apartment Harvard Square",65734941,5,390.00,5,98,6
12248543,"3Bdr Walkout Apartment near park",21631889,5,290.00,5,98,7
12306678,"Private Room and Bath, Gym Privileges & Parking!",66359853,1,82.00,5,97,4
12318450,"Private studio w/ parking by MIT/Harvard/BU/Fenway",66604416,2,104.00,5,98,4
12432434,"2 Bed w/ Parking Two Blocks from Harvard",43450256,3,175.00,5,96,6
12489082,"Modern studio in Cambridge townhome",10069224,1,60.00,5,97,4
12507244,"1 Bedroom near Harvard Square Cambridge",67730125,2,130.00,3,80,6
12522168,"Comfortable & Private 1 bed apt",67827905,2,115.00,3,80,6
12532155,"Nice space near Harvard University 2",65735793,5,500.00,5,95,6
12655984,"Spacious Harvard Sq Room",22591136,1,99.00,5,97,1
12678652,"Spacious 3BR Apt near Harvard Sq & MIT",68892304,3,158.00,5,96,10
12683483,"Newly renovated 2BR apartment near MIT",21631889,4,248.00,5,95,11
12810652,"Very close to Boston MIT Harvard MGH and subway",42927628,1,72.00,5,92,5
12871772,"Convenient Harvard Room",22591136,1,83.00,5,95,1
12903091,"Comfortable Sunny Room in Cambridge",70690651,1,75.00,5,93,10
12985396,"Central Square Cambridge luxury 2 bed, 2 Bath",52660264,3,200.00,5,99,4
13002717,"Typically Cambridge: Harvard/Porter",24871385,1,75.00,5,99,1
13073921,"Beautiful private RM near Harvard",68892304,1,60.00,5,97,10
13147180,"Urban Oasis Near MIT & Harvard",3096821,4,210.00,5,98,11
13156403,"Cozy private RM near Harvard SQ",68892304,1,68.00,5,99,10
13169945,"Sunny private RM near Harvard SQ",68892304,1,60.00,5,98,10
13175406,"Room w/private bath/fridge/microwave/fast wifi -T",21745230,1,59.00,5,99,8
13203203,"One Bedroom Close to MIT (1512)",51079261,1,100.00,5,97,11
13281865,"3rd fl studio, excellent light, 1 stop to Harvard",9939488,1,60.00,5,100,7
13294153,"Close to the subway, MGH, Harvard, MIT & Boston",42927628,1,74.00,5,94,5
13458825,"1 bedroom apartment in Harvard Square Cambridge",67730125,2,130.00,1,60,6
13522694,"??? of Cambridge | Walk Score 94 | Parking | W/D",36621692,5,327.00,5,99,9
13546773,"Spacious Strawberry Hill Suite (West Cambridge)",28611578,1,84.00,5,99,10
13586974,"Beta Room @ CCVP in Harvard Square",78459716,1,88.00,5,96,9
13600523,"Sigma Room @ CCVP in Harvard Square",78459716,1,88.00,5,94,9
13617148,"Classy Cambridge 2BD--Harvard, MIT, Kendall,Boston",45016784,5,283.00,5,91,12
13653574,"9th Floor Luxury Corporate Suite with BostonView",52660264,3,179.00,5,98,4
13683876,"Modern Kendall Square 1BR | Work Desk+WiFi | GLS",30283594,2,150.00,5,100,5
13893163,"Large 1 BD Apartment near Harvard",1411717,3,166.00,5,95,6
13953617,"Studio-type room  w private bathroom CBM",12576232,1,80.00,5,93,11
14088030,"Harvard/MIT Luxury 2 Bed/2.5 Bath",10069224,2,115.00,5,98,4
14117899,"Large One Bedroom walk to Harvard Square",67730125,2,120.00,0,0,6
14142611,"Best Location! MIT, MGH, Harvard, Boston and the T",42927628,1,76.00,5,94,5
14212774,"One Bedroom Close to MIT (1542)",51079261,1,100.00,5,97,4
14213983,"Great Cambridge studio, great Harvard sq location",1473780,2,135.00,5,95,9
14229298,"Modern 1BR | Kitchen | W/D | on Charles River bank",30283594,3,159.00,3,80,5
14251369,"NEW SPACIOUS 2 BDR APT.  HARVARD - CENTRAL SQ/MIT",50669996,4,225.00,5,94,4
14313342,"8th Floor Luxury One Bedroom with Fantastic View",52660264,3,179.00,5,97,4
14359574,"Cozy Room near Harvard Square",70690651,1,70.00,5,96,10
14436594,"Charming 2 Bed/1.5 Bath located on Harvard Street!",79627,2,108.00,0,0,6
14449525,"Convenience, Cozy, and Free Parking",3603745,2,111.00,5,96,13
14503389,"Alpha Room @ CCVP in Harvard Square",78459716,1,79.00,5,94,9
14521992,"Harvard Square 1br",89743014,5,395.00,5,100,9
14536322,"Omega Room @ CCVP in Harvard Square",78459716,1,79.00,5,93,9
14551177,"2 Bedroom w Kitchen, cozy garrett in Harvard Sq.",7704595,2,150.00,0,0,13
14592916,"Cambridge Vacation Rental Rooms M807 #1",32532791,3,160.00,5,97,11
